Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2018-08-09,Possession,1981,https://letterboxd.com/malantonio/film/possession/,4.5,,"blu-ray, theater",2018-08-08
2018-08-13,Barry Lyndon,1975,https://letterboxd.com/malantonio/film/barry-lyndon/,4.5,,"streaming, filmstruck",2018-08-12
2018-08-14,Book of Shadows: Blair Witch 2,2000,https://letterboxd.com/malantonio/film/book-of-shadows-blair-witch-2/,2.5,Yes,"streaming, shudder",2018-08-13
2018-08-18,Demons 2,1986,https://letterboxd.com/malantonio/film/demons-2/1/,3,Yes,"streaming, shudder",2018-08-17
2018-08-22,Angst,1983,https://letterboxd.com/malantonio/film/angst/,2,,"streaming, shudder",2018-08-21
2018-08-25,Friday the 13th Part 2,1981,https://letterboxd.com/malantonio/film/friday-the-13th-part-2/3/,3.5,Yes,"35mm, drive-in",2018-08-24
2018-08-25,My Bloody Valentine,1981,https://letterboxd.com/malantonio/film/my-bloody-valentine/,2.5,,"35mm, drive-in",2018-08-25
2018-08-26,The 36th Chamber of Shaolin,1978,https://letterboxd.com/malantonio/film/the-36th-chamber-of-shaolin/,4,,"theater, digital",2018-08-25
2018-09-06,Jaws,1975,https://letterboxd.com/malantonio/film/jaws/1/,4,Yes,"theater, 35mm",2018-09-03
2018-09-06,Video Voyeur: The Susan Wilson Story,2002,https://letterboxd.com/malantonio/film/video-voyeur-the-susan-wilson-story/,4,,"streaming, lifetime",2018-09-05
2018-09-07,Terrifier,2016,https://letterboxd.com/malantonio/film/terrifier-2016/,2,,,2018-09-06
2018-09-08,VHS Massacre: Cult Films and the Decline of Physical Media,2016,https://letterboxd.com/malantonio/film/vhs-massacre-cult-films-and-the-decline-of-physical-media/,2.5,,"streaming, amazon",2018-09-07
2018-09-10,My Husband's Secret Wife,2018,https://letterboxd.com/malantonio/film/my-husbands-secret-wife/,2,,"streaming, lifetime",2018-09-09
2018-09-13,Invasion of the Body Snatchers,1978,https://letterboxd.com/malantonio/film/invasion-of-the-body-snatchers-1978/,4,,"streaming, amazon",2018-09-12
2018-09-15,The Bad Lieutenant: Port of Call - New Orleans,2009,https://letterboxd.com/malantonio/film/the-bad-lieutenant-port-of-call-new-orleans/,4,Yes,blu-ray,2018-09-13
2018-09-17,Mandy,2018,https://letterboxd.com/malantonio/film/mandy-2018/,4.5,,,2018-09-15
2018-09-18,Blow-Up,1966,https://letterboxd.com/malantonio/film/blow-up/1/,4,Yes,,2018-09-17
2018-09-19,Spacehunter: Adventures in the Forbidden Zone,1983,https://letterboxd.com/malantonio/film/spacehunter-adventures-in-the-forbidden-zone/,2,,"theater, dvd-rip, trash night",2018-09-18
2018-09-20,The King of Comedy,1982,https://letterboxd.com/malantonio/film/the-king-of-comedy/,4,,,2018-09-19
2018-09-21,Army of Darkness,1992,https://letterboxd.com/malantonio/film/army-of-darkness/,4,Yes,,2018-09-20
2018-09-22,Big Driver,2014,https://letterboxd.com/malantonio/film/big-driver/,3.5,,"streaming, lifetime",2018-09-21
2018-09-22,Terror,2007,https://letterboxd.com/malantonio/film/terror-2007/,5,,"streaming, vimeo",2018-09-21
2018-10-02,Alice Sweet Alice,1976,https://letterboxd.com/malantonio/film/alice-sweet-alice/,3.5,,"streaming, amazon",2018-10-01
2018-10-02,The Night of a Thousand Cats,1972,https://letterboxd.com/malantonio/film/the-night-of-a-thousand-cats/,4,,"streaming, amazon",2018-10-01
2018-10-04,Contamination,1980,https://letterboxd.com/malantonio/film/contamination/,2,,"streaming, shudder",2018-10-02
2018-10-04,The Boy,2016,https://letterboxd.com/malantonio/film/the-boy-2016/,2.5,,"streaming, netflix",2018-10-03
2018-10-05,Nightmare City,1980,https://letterboxd.com/malantonio/film/nightmare-city/,3,,,2018-10-04
2018-10-06,The Seventh Seal,1957,https://letterboxd.com/malantonio/film/the-seventh-seal/,5,Yes,"35mm, theater",2018-10-05
2018-10-06,De Düva: The Dove,1968,https://letterboxd.com/malantonio/film/de-duva-the-dove/,4,,"35mm, theater",2018-10-05
2018-10-06,Bill & Ted's Bogus Journey,1991,https://letterboxd.com/malantonio/film/bill-teds-bogus-journey/,4,,"theater, 35mm",2018-10-05
2018-10-07,The Gore Gore Girls,1972,https://letterboxd.com/malantonio/film/the-gore-gore-girls/,3,,blu-ray,2018-10-06
2018-10-07,Mausoleum,1983,https://letterboxd.com/malantonio/film/mausoleum/,3.5,,"streaming, amazon",2018-10-06
2018-10-07,Black Sabbath,1963,https://letterboxd.com/malantonio/film/black-sabbath/,3,,"streaming, shudder",2018-10-06
2018-10-08,The Wizard of Gore,1970,https://letterboxd.com/malantonio/film/the-wizard-of-gore/,3,,blu-ray,2018-10-07
