Date,Name,Year,Letterboxd URI,Rating
2016-11-12,They Live,1988,https://letterboxd.com/film/they-live/,4
2016-11-15,Kingpin,1996,https://letterboxd.com/film/kingpin/,3
2016-11-26,Trilogy of Terror,1975,https://letterboxd.com/film/trilogy-of-terror/,3.5
2016-11-26,Trilogy of Terror II,1996,https://letterboxd.com/film/trilogy-of-terror-ii/,1.5
2016-12-11,Swimfan,2002,https://letterboxd.com/film/swimfan/,3.5
2016-12-18,Sleepaway Camp,1983,https://letterboxd.com/film/sleepaway-camp/,3.5
2016-12-18,Rogue One: A Star Wars Story,2016,https://letterboxd.com/film/rogue-one-a-star-wars-story/,4
2016-12-22,The Santa Clause,1994,https://letterboxd.com/film/the-santa-clause/,2.5
2017-01-02,The Dark Knight,2008,https://letterboxd.com/film/the-dark-knight/,4
2017-01-06,Double Down,2005,https://letterboxd.com/film/double-down-2005/,3
2017-01-06,Puce Moment,1949,https://letterboxd.com/film/puce-moment/,4.5
2017-01-06,Rabbit's Moon,1971,https://letterboxd.com/film/rabbits-moon/,3.5
2017-01-06,Scorpio Rising,1963,https://letterboxd.com/film/scorpio-rising/,5
2017-01-07,Fear,1996,https://letterboxd.com/film/fear-1996/,3.5
2017-01-07,Fire in the Sky,1993,https://letterboxd.com/film/fire-in-the-sky/,3.5
2017-01-12,Jason X,2001,https://letterboxd.com/film/jason-x/,2
2017-01-16,Aerosmith - The Making of Pump,1990,https://letterboxd.com/film/aerosmith-the-making-of-pump/,2.5
2017-01-16,Lucifer Rising,1972,https://letterboxd.com/film/lucifer-rising/,3
2017-01-16,Hellraiser,1987,https://letterboxd.com/film/hellraiser/,3
2017-01-16,Profilers: Gaze Into the Abyss,2014,https://letterboxd.com/film/profilers-gaze-into-the-abyss/,3
2017-01-16,Lo and Behold: Reveries of the Connected World,2016,https://letterboxd.com/film/lo-and-behold-reveries-of-the-connected-world/,3.5
2017-01-20,Terrifier,2011,https://letterboxd.com/film/terrifier/,3
2017-01-20,All Hallows' Eve,2013,https://letterboxd.com/film/all-hallows-eve/,3
2017-01-23,Andy Warhol: A Documentary Film,2006,https://letterboxd.com/film/andy-warhol-a-documentary-film/,3.5
2017-01-26,Premium Rush,2012,https://letterboxd.com/film/premium-rush/,3.5
2017-02-02,Winter Light,1963,https://letterboxd.com/film/winter-light/,4.5
2017-02-02,Swamp Ape,2017,https://letterboxd.com/film/swamp-ape/,1.5
2017-02-09,Arena,1989,https://letterboxd.com/film/arena/,2.5
2017-02-16,A Dog's Best Friend,1959,https://letterboxd.com/film/a-dogs-best-friend/,3
2017-02-20,Vertigo,1958,https://letterboxd.com/film/vertigo/,3.5
2017-02-20,Psycho,1960,https://letterboxd.com/film/psycho/,4.5
2017-02-20,Children of Men,2006,https://letterboxd.com/film/children-of-men/,4.5
2017-02-22,Fifty Shades of Grey,2015,https://letterboxd.com/film/fifty-shades-of-grey/,3
2017-02-27,Event Horizon,1997,https://letterboxd.com/film/event-horizon/,3.5
2017-02-27,Get Out,2017,https://letterboxd.com/film/get-out-2017/,4
2017-03-05,10 Cloverfield Lane,2016,https://letterboxd.com/film/10-cloverfield-lane/,3.5
2017-03-06,Stage Fright,1950,https://letterboxd.com/film/stage-fright/,4
2017-03-07,Into the Abyss,2011,https://letterboxd.com/film/into-the-abyss/,3
2017-03-07,All the President's Men,1976,https://letterboxd.com/film/all-the-presidents-men/,4.5
2017-03-13,Tickled,2016,https://letterboxd.com/film/tickled/,4
2017-03-14,Arrival,2016,https://letterboxd.com/film/arrival-2016/,4
2017-03-16,We Are the Flesh,2016,https://letterboxd.com/film/we-are-the-flesh/,3.5
2017-03-18,The Green Inferno,2013,https://letterboxd.com/film/the-green-inferno/,1.5
2017-03-20,The Birds,1963,https://letterboxd.com/film/the-birds/,4
2017-03-27,GoodFellas,1990,https://letterboxd.com/film/goodfellas/,5
2017-04-05,Alien Autopsy: (Fact or Fiction?),1995,https://letterboxd.com/film/alien-autopsy-fact-or-fiction/,3
2017-04-07,Angus,1995,https://letterboxd.com/film/angus/,4
2017-04-11,RoboCop,1987,https://letterboxd.com/film/robocop/,3.5
2017-04-12,RoboCop 2,1990,https://letterboxd.com/film/robocop-2/,2.5
2017-04-17,Hesher,2010,https://letterboxd.com/film/hesher/,3.5
2017-04-19,Chopping Mall,1986,https://letterboxd.com/film/chopping-mall/,3.5
2017-04-21,Ransom,1996,https://letterboxd.com/film/ransom/,4
2017-04-23,"The Death of ""Superman Lives"": What Happened?",2015,https://letterboxd.com/film/the-death-of-superman-lives-what-happened/,3.5
2017-05-13,Dark Night,2016,https://letterboxd.com/film/dark-night/,3.5
2017-05-13,Hello Mary Lou: Prom Night II,1987,https://letterboxd.com/film/hello-mary-lou-prom-night-ii/,3.5
2017-05-15,Twin Peaks: Fire Walk with Me,1992,https://letterboxd.com/film/twin-peaks-fire-walk-with-me/,4
2017-05-17,Darling,2015,https://letterboxd.com/film/darling-2015-1/,4
2017-05-19,Pod,2015,https://letterboxd.com/film/pod/,3
2017-05-27,Night of the Comet,1984,https://letterboxd.com/film/night-of-the-comet/,3
2017-05-28,The Evil Dead,1981,https://letterboxd.com/film/the-evil-dead/,4.5
2017-05-28,Evil Dead II,1987,https://letterboxd.com/film/evil-dead-ii/,4
2017-05-29,Raiders of the Living Dead,1986,https://letterboxd.com/film/raiders-of-the-living-dead/,1.5
2017-05-31,Snake Eyes,1998,https://letterboxd.com/film/snake-eyes/,3.5
2017-05-31,De Palma,2015,https://letterboxd.com/film/de-palma/,3
2017-06-02,The Fate of the Furious,2017,https://letterboxd.com/film/the-fate-of-the-furious/,3
2017-06-03,Beneath the Skin,1981,https://letterboxd.com/film/beneath-the-skin-1981/,4
